Anomalia: ['37.00', '0.19', '-0.16', '1.00']
['37.00', '0.19', '-0.16', '1.00']
Anomalia: ['37.50', '0.25', '-0.05', '1.00']
['37.50', '0.25', '-0.05', '1.00']
Anomalia: ['38.00', '0.24', '0.07', '1.00']
['38.00', '0.24', '0.07', '1.00']
Anomalia: ['38.50', '0.17', '0.18', '1.00']
['38.50', '0.17', '0.18', '1.00']
Anomalia: ['39.00', '0.07', '0.24', '1.00']
['39.00', '0.07', '0.24', '1.00']
Anomalia: ['39.50', '-0.06', '0.24', '1.00']
['39.50', '-0.06', '0.24', '1.00']
Anomalia: ['40.00', '-0.17', '0.19', '1.00']
['40.00', '-0.17', '0.19', '1.00']
Anomalia: ['40.50', '-0.24', '0.08', '1.00']
['40.50', '-0.24', '0.08', '1.00']
Anomalia: ['41.00', '-0.25', '-0.04', '1.00']
['41.00', '-0.25', '-0.04', '1.00']
Anomalia: ['41.50', '-0.20', '-0.15', '1.00']
['41.50', '-0.20', '-0.15', '1.00']
Anomalia: ['42.00', '-0.10', '-0.23', '1.00']
['42.00', '-0.10', '-0.23', '1.00']
Anomalia: ['42.50', '0.02', '-0.25', '1.00']
['42.50', '0.02', '-0.25', '1.00']
['43.00', '0.14', '-0.21', '1.00']
Anomalia: ['43.50', '0.22', '-0.12', '1.00']
['43.50', '0.22', '-0.12', '1.00']
Anomalia: ['44.00', '0.25', '0.00', '1.00']
['44.00', '0.25', '0.00', '1.00']
Anomalia: ['44.50', '0.22', '0.12', '1.00']
['44.50', '0.22', '0.12', '1.00']
Anomalia: ['45.00', '0.13', '0.21', '1.00']
['45.00', '0.13', '0.21', '1.00']
Anomalia: ['46.25', '-0.16', '0.19', '1.00']
Anomalia: ['47.50', '-0.23', '-0.09', '1.00']
Anomalia: ['48.75', '0.01', '-0.25', '1.00']
Anomalia: ['50.00', '0.24', '-0.07', '1.00']
Anomalia: ['51.25', '0.14', '0.21', '1.00']
Anomalia: ['52.50', '-0.15', '0.20', '1.00']
Anomalia: ['53.75', '-0.24', '-0.08', '1.00']
Anomalia: ['55.00', '0.01', '-0.25', '1.00']
Anomalia: ['56.25', '0.24', '-0.07', '1.00']
Anomalia: ['57.50', '0.15', '0.20', '1.00']
Anomalia: ['58.75', '-0.15', '0.20', '1.00']
Anomalia: ['60.00', '-0.24', '-0.08', '1.00']
Anomalia: ['61.25', '-0.00', '-0.25', '1.00']
Anomalia: ['63.75', '0.15', '0.20', '1.00']
Anomalia: ['65.00', '-0.14', '0.21', '1.00']
Anomalia: ['66.25', '-0.24', '-0.07', '1.00']
Anomalia: ['67.50', '-0.01', '-0.25', '1.00']
Anomalia: ['68.75', '0.23', '-0.09', '1.00']
Anomalia: ['70.00', '0.16', '0.19', '1.00']
Anomalia: ['71.25', '-0.13', '0.21', '1.00']
Anomalia: ['72.50', '-0.24', '-0.06', '1.00']
Anomalia: ['73.75', '-0.02', '-0.25', '1.00']
Anomalia: ['75.00', '0.23', '-0.10', '1.00']
Anomalia: ['76.25', '0.16', '0.19', '1.00']
Anomalia: ['77.50', '-0.13', '0.22', '1.00']
Anomalia: ['78.75', '-0.24', '-0.05', '1.00']
Anomalia: ['80.00', '-0.03', '-0.25', '1.00']
Anomalia: ['81.25', '0.23', '-0.10', '1.00']
Anomalia: ['82.50', '0.17', '0.18', '1.00']
Anomalia: ['83.75', '-0.12', '0.22', '1.00']
Anomalia: ['85.00', '-0.25', '-0.04', '1.00']
Anomalia: ['86.25', '-0.04', '-0.25', '1.00']
Anomalia: ['87.50', '0.22', '-0.11', '1.00']
Anomalia: ['88.75', '0.18', '0.18', '1.00']
Anomalia: ['90.00', '-0.11', '0.22', '1.00']
Anomalia: ['91.25', '-0.25', '-0.04', '1.00']
Anomalia: ['92.50', '-0.04', '-0.25', '1.00']
Anomalia: ['93.75', '0.22', '-0.12', '1.00']
Anomalia: ['95.00', '0.18', '0.17', '1.00']
Anomalia: ['96.25', '-0.10', '0.23', '1.00']
Anomalia: ['97.50', '-0.25', '-0.03', '1.00']
Anomalia: ['98.75', '-0.05', '-0.24', '1.00']
